"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R5,R4,R3";"R_0805_2012Metric";3;"10k";;;
2;"U2,U1";"SOIC-8_5.3x5.3mm_P1.27mm";2;"24LC1025";;;
3;"J3,J2";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
4;"D2,D1";"LED_0805_2012Metric";2;"LED";;;
5;"R1,R2";"R_0805_2012Metric";2;"330";;;
6;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"32.768kHz";;;
7;"C4,C1";"C_0805_2012Metric";2;"0.1uF";;;
8;"U4";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
9;"Y2";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
10;"U3";"SOIC127P600X175-8N";1;"DS1337S_";;;
11;"C5";"C_0805_2012Metric";1;"100nF";;;
12;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
13;"C2,C3";"C_0805_2012Metric";2;"22pF";;;
14;"R6,R7";"R_0805_2012Metric";2;"4.2k";;;
15;"J4";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Pin";;;
16;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
